Strain,Stress_MPa
1.62E-05,-0.616690117
2.16E-05,-0.523218379
2.39E-05,-0.455800952
2.36E-05,-0.402697544
2.58E-05,-0.271632219
2.66E-05,-0.157564901
3.05E-05,-0.048435044
3.07E-05,0.031340065
2.68E-05,0.099299222
1.90E-05,0.163874948
1.71E-05,0.225121355
1.43E-05,0.276728411
1.56E-05,0.333717065
1.77E-05,0.340887302
2.86E-05,0.351151609
2.94E-05,0.368109462
2.18E-05,0.460755614
7.02E-06,0.767330558
-1.01E-05,1.364025947
-3.54E-05,2.32666913
-5.54E-05,3.721090017
-7.67E-05,5.500026915
-8.66E-05,7.512280055
-8.44E-05,9.722581151
-6.34E-05,11.99749368
-4.15E-05,14.35575699
-4.74E-06,16.78115898
3.44E-05,19.09950973
7.58E-05,21.38770888
0.000120483,23.87122796
0.000173046,26.51520871
0.000210619,29.31101436
0.000261238,32.14037091
0.000311074,34.90929933
0.000359745,37.7136973
0.000408528,40.54835785
0.000457721,43.44745888
0.000509351,46.28113384
0.000566984,49.09774141
0.000619387,51.91185971
0.000670144,54.75928416
0.000718173,57.65551924
0.000766658,60.57355643
0.00081819,63.40358412
0.000872177,66.27510554
0.00092358,69.16975864
0.000974567,72.06015304
0.001028709,74.9457149
0.001082013,77.83795855
0.001142011,80.74219466
0.001198423,83.64782351
0.001248037,86.57001369
0.001293301,89.48165513
0.001336576,92.34286764
0.001380984,95.22155055
0.001428702,98.06890881
0.001473001,100.8785966
0.001512659,103.6592318
0.001560317,106.4056903
0.001613945,109.0915281
0.001668937,111.8119483
0.00171586,114.5453567
0.001761367,117.1638452
0.001806354,119.8658497
0.001855578,122.5138
0.001901426,125.1696903
0.001944379,127.7715713
0.001985992,130.3765567
0.002031612,132.8851182
0.00207993,135.4810809
0.002123348,137.9468273
0.002168414,140.4643675
0.002207286,142.9165013
0.002250928,145.384787
0.002297224,147.8197847
0.00234259,150.2596336
0.002385568,152.6877644
0.002427886,155.0899576
0.002473611,157.4624659
0.002520581,159.8345878
0.002568079,162.1659004
0.002618167,164.5280685
0.002655341,166.8317289
0.002703123,169.1089958
0.002756278,171.3918978
0.002798394,173.6495534
0.002849877,175.8885661
0.002894354,178.2220444
0.002934133,180.4604781
0.002988959,182.7714529
0.003034125,185.0573072
0.003073955,187.3139245
0.003123171,189.586153
0.003159809,191.8274999
0.003207512,193.9953731
0.003258932,196.2429021
0.003306456,198.382488
0.003352849,200.5792561
0.003405941,202.7661611
0.003457168,204.8916409
0.003517498,206.9841793
0.003572514,209.1162136
0.003628854,211.1595525
0.003685006,213.2120479
0.003744637,215.1952034
0.00380382,217.1242327
0.003867514,219.0384186
0.00393627,220.9183556
0.004014261,222.6387425
0.004096764,224.3083081
0.004193764,225.9853785
0.004303078,227.4899611
0.004425089,228.9587583
0.004562312,230.2849811
