Strain,Stress_MPa
4.08E-05,0.051670295
4.45E-05,0.27682963
5.29E-05,0.722957343
5.48E-05,1.192966167
6.58E-05,2.230023472
6.83E-05,3.582863056
7.46E-05,5.162126186
8.56E-05,7.004073148
0.000102189,8.940369231
0.000124712,10.9109288
0.000156847,13.00621652
0.000189931,14.90739113
0.000231668,16.81298691
0.000269377,18.87737321
0.000309677,20.96000001
0.000350962,23.04065197
0.000388624,25.14233739
0.000423865,27.3495991
0.000462797,29.54649614
0.000506035,31.70615571
0.000548592,33.79153266
0.000596731,35.91789552
0.000638573,38.06410573
0.000680288,40.21439
0.000732752,42.28120504
0.000781786,44.37375801
0.000833363,46.52664145
0.000885191,48.69059251
0.000932132,50.81762065
0.000988653,53.0086989
0.00103439,55.15490024
0.001077544,57.3134308
0.001122078,59.44199763
0.001164623,61.53687145
0.001209625,63.63088402
0.001248073,65.74544318
0.001288604,67.7928593
0.00134257,69.85255781
0.001387257,71.87017208
0.001433083,73.87287367
0.001479308,75.87306078
0.001524953,77.8558084
0.001581475,79.7632719
0.001628005,81.68663761
0.001673333,83.66551757
0.001719191,85.59977126
0.001768701,87.55081502
0.001809674,89.44541462
0.001852852,91.3226806
0.00189069,93.22576841
0.001934696,95.07576431
0.001972692,96.81112992
0.002024349,98.62310957
0.002058047,100.3991451
0.002103662,102.1536911
0.002149261,103.9612245
0.002183278,105.7376711
0.002216883,107.47661
0.002263016,109.1888373
0.002296922,110.8937381
0.00234956,112.5267002
0.00239215,114.1747156
0.002432402,115.7160257
0.002481336,117.2798365
0.002534649,118.8807686
0.00257396,120.5195949
0.002615715,122.0961158
0.00265329,123.7236825
0.002688751,125.3126057
0.002729041,126.8535633
0.002768011,128.3818687
0.002807532,129.8801569
0.002857202,131.371273
0.002900205,132.840172
0.002949002,134.279861
0.003002531,135.7797389
0.003047266,137.2812348
0.003105896,138.7281235
0.003149985,140.1417122
0.003191438,141.5491207
0.003214907,142.9468207
0.003246883,144.352655
0.003292082,145.6417762
0.003337829,146.945031
0.003378199,148.3009388
0.003423766,149.6316948
0.003477674,150.890522
0.003555052,152.1381461
0.003610797,153.3344599
0.003666101,154.5951632
0.003727691,155.7498855
0.003780702,156.7960843
0.00384779,157.843324
0.003907551,158.8181473
0.003976889,159.6938739
0.004058603,160.5254779
0.004136387,161.2663855
0.004228346,162.0018469
0.004325737,162.7030241
0.004435433,163.3264507
0.004551421,163.9459888
0.004678713,164.5281115
0.004813367,165.0443722
