Strain,Stress_MPa
-3.06E-06,0.013937653
-4.17E-05,0.006456176
-8.31E-05,0.030396081
-0.000112504,0.224756796
-0.000154114,0.662874034
-0.000196575,1.328354049
-0.000255037,2.352205599
-0.000302002,3.816994195
-0.000319974,5.505384956
-0.000320635,7.495916622
-0.000310064,9.616356697
-0.000301201,11.83484618
-0.000292318,14.20637119
-0.000267964,16.54369656
-0.000240959,18.83050687
-0.000202204,21.27327065
-0.00016331,23.73674247
-0.000130833,26.26422095
-9.46E-05,28.81303497
-4.61E-05,31.38961659
4.48E-06,33.96619821
5.39E-05,36.52395434
9.77E-05,39.020057
0.000140162,41.54329974
0.000181568,44.02324386
0.000227774,46.48499001
0.000275207,48.83582267
0.000327481,51.23795478
0.000383062,53.57827654
0.00042713,55.90463606
0.000472751,58.16840084
0.000528913,60.42902804
0.000586622,62.69247906
0.000633911,65.02966324
0.000682483,67.28103458
0.000723092,69.55374147
0.000772079,71.80323025
0.000827587,74.07405459
0.000872834,76.34566332
0.000923063,78.60017224
0.000971728,80.82471726
0.001025732,83.06259699
0.001084904,85.29373093
0.001141384,87.54055277
0.001199676,89.77278486
0.001257818,92.01772416
0.00130914,94.23144452
0.001368301,96.41724041
0.001417687,98.55063869
0.001470133,100.6802719
0.001520805,102.7880989
0.001563175,104.9097312
0.001609906,106.9692395
0.00165597,109.0535346
0.001706194,111.1004925
0.001756359,113.1874546
0.001796535,115.2573169
0.001846855,117.3110206
0.001896793,119.2971095
0.001942991,121.3067302
0.001991064,123.2786999
0.002027598,125.2287066
0.002065951,127.150475
0.002109613,129.0628307
0.002146739,130.9767552
0.002195339,132.8891109
0.002240691,134.7528341
0.002276002,136.604007
0.002320001,138.453611
0.002369816,140.34871
0.002411612,142.1779198
0.002463329,143.9930105
0.002493888,145.7704502
0.002528908,147.5541651
0.002576358,149.4069067
0.00261654,151.195328
0.002651412,152.8566772
0.002689719,154.5823468
0.002716275,156.3127228
0.002757722,158.0540803
0.002800911,159.8252448
0.002832682,161.5085571
0.00287372,163.2295204
0.002916063,164.9724467
0.002946358,166.6871348
0.002985023,168.3986853
0.00302359,170.1510243
0.003060076,171.8515933
0.003100665,173.5176489
0.003131772,175.216649
0.003169661,176.9407499
0.003225418,178.6193558
0.003269768,180.2963929
0.003304906,181.9247975
0.003353463,183.5343766
0.003394889,185.1784691
0.003445219,186.7723603
0.003490806,188.3584076
0.003531462,189.9852434
0.003568574,191.5650155
0.0036181,193.1243933
0.003654408,194.7088718
0.003698428,196.197654
0.003744922,197.7052618
0.003794597,199.2677772
0.003843966,200.7502842
0.003903451,202.2688735
0.003961207,203.7937379
0.00402165,205.2636947
0.004088051,206.7587521
0.004156106,208.1738012
0.004224759,209.463347
0.004297048,210.7685808
0.004373262,212.025182
0.004456382,213.2221692
0.004547533,214.346992
0.004646705,215.3980817
0.004750645,216.4193644
0.004865252,217.4579037
0.004990433,218.369371
0.005127889,219.1161153
