Strain,Stress_MPa
-3.99E-05,0.071359793
-5.89E-05,0.050938244
-0.000131779,0.077239421
-0.000143977,0.259897188
-0.000159283,0.660183061
-0.000189754,1.361068416
-0.000240723,2.326058379
-0.000265178,3.505880804
-0.000280807,4.884248845
-0.000247335,6.427684488
-0.000237109,8.022440115
-0.000234414,9.635291115
-0.00021759,11.24683919
-0.000191987,12.82977839
-0.000173086,14.42691299
-0.000146043,16.09767143
-0.000111183,17.85285581
-0.00014747,19.65130663
-0.000124065,21.48134177
-9.31E-05,23.22366114
-5.41E-05,25.03003615
1.39E-05,26.88468201
6.29E-05,28.68893519
0.000118694,30.55273451
0.000233912,32.36828345
0.000287691,34.16835392
0.000336365,35.97347856
0.000371775,37.76300731
0.000394771,39.48734963
0.000446456,41.23281987
0.000472034,42.8482065
0.000496115,44.42837123
0.000539182,46.00766139
0.000600074,47.57165374
0.000655407,49.03534104
0.000711293,50.50866216
0.000724132,51.92167749
0.000766453,53.34663624
0.000814561,54.79607961
0.000867251,56.13355849
0.000889636,57.46332659
0.000938041,58.78602783
0.000978718,60.10302909
0.001062159,61.39047042
0.001127726,62.64539316
0.001167501,63.8499958
0.001198979,65.08404807
0.001251731,66.298796
0.001292191,67.48376256
0.001331049,68.6386481
0.001366872,69.81614272
0.001410562,70.92530189
0.001478967,72.03938574
0.001512678,73.14464353
0.001554892,74.26736546
0.00161684,75.35215198
0.001669762,76.35201286
0.001719687,77.33133439
0.001778607,78.34025754
0.001833195,79.29841345
0.001947302,80.16537186
0.002034403,81.0167206
0.002104525,81.85270841
0.00221491,82.71320409
0.002321184,83.5236207
0.002423036,84.21264854
0.002538051,84.84169178
0.002638202,85.44755893
